,latitude,longitude
692,-48.75,-76.5
693,-48.75,-76.25
694,-48.75,-76.0
695,-48.5,-78.75
696,-48.5,-78.5
697,-48.5,-78.25
698,-48.5,-78.0
699,-48.5,-77.75
700,-48.5,-77.5
701,-48.5,-77.25
702,-48.5,-77.0
703,-48.5,-76.75
704,-48.5,-76.5
705,-48.5,-76.25
706,-48.5,-76.0
707,-48.5,-75.75
708,-48.25,-78.75
709,-48.25,-78.5
710,-48.25,-78.25
711,-48.25,-78.0
712,-48.25,-77.75
713,-48.25,-77.5
714,-48.25,-77.25
715,-48.25,-77.0
716,-48.25,-76.75
717,-48.25,-76.5
718,-48.25,-76.25
719,-48.25,-76.0
720,-48.25,-75.75
721,-48.0,-78.75
722,-48.0,-78.5
723,-48.0,-78.25
724,-48.0,-78.0
725,-48.0,-77.75
726,-48.0,-77.5
727,-48.0,-77.25
728,-48.0,-77.0
729,-48.0,-76.75
730,-48.0,-76.5
731,-48.0,-76.25
732,-48.0,-76.0
733,-48.0,-75.75
734,-47.75,-78.75
735,-47.75,-78.5
736,-47.75,-78.25
737,-47.75,-78.0
738,-47.75,-77.75
739,-47.75,-77.5
740,-47.75,-77.25
741,-47.75,-77.0
742,-47.75,-76.75
743,-47.75,-76.5
744,-47.75,-76.25
745,-47.75,-76.0
746,-47.75,-75.75
747,-47.75,-75.5
748,-47.5,-78.75
749,-47.5,-78.5
750,-47.5,-78.25
751,-47.5,-78.0
752,-47.5,-77.75
753,-47.5,-77.5
754,-47.5,-77.25
755,-47.5,-77.0
756,-47.5,-76.75
757,-47.5,-76.5
758,-47.5,-76.25
759,-47.5,-76.0
760,-47.5,-75.75
761,-47.5,-75.5
762,-47.5,-75.25
763,-47.5,-75.0
764,-47.5,-74.75
765,-47.25,-78.75
766,-47.25,-78.5
767,-47.25,-78.25
768,-47.25,-78.0
769,-47.25,-77.75
770,-47.25,-77.5
771,-47.25,-77.25
772,-47.25,-77.0
773,-47.25,-76.75
774,-47.25,-76.5
775,-47.25,-76.25
776,-47.25,-76.0
777,-47.25,-75.75
778,-47.25,-75.5
779,-47.25,-75.25
780,-47.25,-75.0
781,-47.25,-74.75
782,-47.25,-74.5
783,-47.0,-78.75
784,-47.0,-78.5
785,-47.0,-78.25
786,-47.0,-78.0
787,-47.0,-77.75
788,-47.0,-77.5
789,-47.0,-77.25
790,-47.0,-77.0
791,-47.0,-76.75
792,-47.0,-76.5
793,-47.0,-76.25
794,-47.0,-76.0
795,-47.0,-75.75
796,-47.0,-75.5
797,-47.0,-75.25
798,-47.0,-75.0
799,-47.0,-74.75
800,-46.75,-78.75
801,-46.75,-78.5
802,-46.75,-78.25
803,-46.75,-78.0
804,-46.75,-77.75
805,-46.75,-77.5
806,-46.75,-77.25
807,-46.75,-77.0
808,-46.75,-76.75
809,-46.75,-76.5
810,-46.75,-76.25
811,-46.75,-76.0
812,-46.75,-75.75
813,-46.5,-78.75
814,-46.5,-78.5
815,-46.5,-78.25
816,-46.5,-78.0
817,-46.5,-77.75
818,-46.5,-77.5
819,-46.5,-77.25
820,-46.5,-77.0
821,-46.5,-76.75
822,-46.5,-76.5
823,-46.5,-76.25
824,-46.5,-76.0
825,-46.5,-75.75
826,-46.25,-78.75
827,-46.25,-78.5
828,-46.25,-78.25
829,-46.25,-78.0
830,-46.25,-77.75
831,-46.25,-77.5
832,-46.25,-77.25
833,-46.25,-77.0
834,-46.25,-76.75
835,-46.25,-76.5
836,-46.25,-76.25
837,-46.25,-76.0
838,-46.25,-75.75
839,-46.25,-75.5
840,-46.25,-75.25
841,-46.0,-78.75
842,-46.0,-78.5
843,-46.0,-78.25
844,-46.0,-78.0
845,-46.0,-77.75
846,-46.0,-77.5
847,-46.0,-77.25
848,-46.0,-77.0
849,-46.0,-76.75
850,-46.0,-76.5
851,-46.0,-76.25
852,-46.0,-76.0
853,-46.0,-75.75
854,-46.0,-75.5
855,-46.0,-75.25
856,-45.75,-78.75
857,-45.75,-78.5
858,-45.75,-78.25
859,-45.75,-78.0
860,-45.75,-77.75
861,-45.75,-77.5
862,-45.75,-77.25
863,-45.75,-77.0
864,-45.75,-76.75
865,-45.75,-76.5
866,-45.75,-76.25
867,-45.75,-76.0
868,-45.75,-75.75
869,-45.75,-75.5
870,-45.75,-75.25
871,-45.75,-75.0
872,-45.75,-74.75
873,-45.5,-78.75
874,-45.5,-78.5
875,-45.5,-78.25
876,-45.5,-78.0
877,-45.5,-77.75
878,-45.5,-77.5
879,-45.5,-77.25
880,-45.5,-77.0
881,-45.5,-76.75
882,-45.5,-76.5
883,-45.5,-76.25
884,-45.5,-76.0
885,-45.5,-75.75
886,-45.5,-75.5
887,-45.5,-75.25
888,-45.5,-75.0
889,-45.25,-78.5
890,-45.25,-78.25
891,-45.25,-78.0
892,-45.25,-77.75
893,-45.25,-77.5
894,-45.25,-77.25
895,-45.25,-77.0
896,-45.25,-76.75
897,-45.25,-76.5
898,-45.25,-76.25
899,-45.25,-76.0
900,-45.25,-75.75
901,-45.25,-75.5
902,-45.25,-75.25
903,-45.25,-75.0
904,-45.25,-74.75
905,-45.25,-73.5
906,-45.0,-78.5
907,-45.0,-78.25
908,-45.0,-78.0
909,-45.0,-77.75
910,-45.0,-77.5
911,-45.0,-77.25
912,-45.0,-77.0
913,-45.0,-76.75
914,-45.0,-76.5
915,-45.0,-76.25
916,-45.0,-76.0
917,-45.0,-75.75
918,-45.0,-75.5
919,-45.0,-75.25
920,-45.0,-75.0
921,-45.0,-74.75
922,-45.0,-74.5
923,-45.0,-73.5
924,-44.75,-78.25
925,-44.75,-78.0
926,-44.75,-77.75
927,-44.75,-77.5
928,-44.75,-77.25
929,-44.75,-77.0
930,-44.75,-76.75
931,-44.75,-76.5
932,-44.75,-76.25
933,-44.75,-76.0
934,-44.75,-75.75
935,-44.75,-75.5
936,-44.75,-75.25
937,-44.75,-74.75
938,-44.75,-74.5
939,-44.75,-73.5
940,-44.5,-78.0
941,-44.5,-77.75
942,-44.5,-77.5
943,-44.5,-77.25
944,-44.5,-77.0
945,-44.5,-76.75
946,-44.5,-76.5
947,-44.5,-76.25
948,-44.5,-76.0
949,-44.5,-75.75
950,-44.5,-75.5
951,-44.5,-75.25
952,-44.5,-75.0
953,-44.5,-74.5
954,-44.5,-73.5
955,-44.25,-77.75
956,-44.25,-77.5
957,-44.25,-77.25
958,-44.25,-77.0
959,-44.25,-76.75
960,-44.25,-76.5
961,-44.25,-76.25
962,-44.25,-76.0
963,-44.25,-75.75
964,-44.25,-75.5
965,-44.25,-75.25
966,-44.25,-75.0
967,-44.25,-74.75
968,-44.25,-74.5
969,-44.25,-73.5
970,-44.0,-77.75
971,-44.0,-77.5
972,-44.0,-77.25
973,-44.0,-77.0
974,-44.0,-76.75
975,-44.0,-76.5
976,-44.0,-76.25
977,-44.0,-76.0
978,-44.0,-75.75
979,-44.0,-75.5
980,-44.0,-75.25
981,-44.0,-75.0
982,-44.0,-74.75
983,-44.0,-74.5
984,-44.0,-74.0
985,-44.0,-73.75
986,-43.75,-77.5
987,-43.75,-77.25
988,-43.75,-77.0
989,-43.75,-76.75
990,-43.75,-76.5
991,-43.75,-76.25
992,-43.75,-76.0
993,-43.75,-75.75
994,-43.75,-75.5
995,-43.75,-75.25
996,-43.75,-75.0
997,-43.75,-74.75
998,-43.75,-74.5
999,-43.75,-74.25
1000,-43.75,-74.0
1001,-43.75,-73.75
1002,-43.75,-73.5
1003,-43.75,-73.25
1004,-43.75,-73.0
1005,-43.5,-77.5
1006,-43.5,-77.25
1007,-43.5,-77.0
1008,-43.5,-76.75
1009,-43.5,-76.5
1010,-43.5,-76.25
1011,-43.5,-76.0
1012,-43.5,-75.75
1013,-43.5,-75.5
1014,-43.5,-75.25
1015,-43.5,-75.0
1016,-43.5,-74.5
1017,-43.5,-74.25
1018,-43.5,-74.0
1019,-43.5,-73.75
1020,-43.5,-73.5
1021,-43.5,-73.25
1022,-43.25,-77.5
1023,-43.25,-77.25
1024,-43.25,-77.0
1025,-43.25,-76.75
1026,-43.25,-76.5
